region_code,region,location_code,location,period,gender,gender_code,life_expect_birth
AMR,Americas,GTM,Guatemala,2019,Male,MLE,68.95
AFR,Africa,RWA,Rwanda,2019,Both sexes,BTSX,69.1
SEAR,South-East Asia,MMR,Myanmar,2019,Both sexes,BTSX,69.13
EMR,Eastern Mediterranean,SDN,Sudan,2019,Both sexes,BTSX,69.15
AFR,Africa,GHA,Ghana,2019,Female,FMLE,69.16
WPR,Western Pacific,WSM,Samoa,2019,Male,MLE,69.16
EUR,Europe,MDA,Republic of Moldova,2019,Male,MLE,69.26
AFR,Africa,TZA,United Republic of Tanzania,2019,Female,FMLE,69.26
SEAR,South-East Asia,PRK,Democratic People's Republic of Korea,2019,Male,MLE,69.29
AMR,Americas,GUY,Guyana,2019,Female,FMLE,69.39
SEAR,South-East Asia,IDN,Indonesia,2019,Male,MLE,69.4
EUR,Europe,TJK,Tajikistan,2019,Both sexes,BTSX,69.5
SEAR,South-East Asia,IND,India,2019,Male,MLE,69.52
WPR,Western Pacific,VNM,Viet Nam,2019,Male,MLE,69.56
EMR,Eastern Mediterranean,EGY,Egypt,2019,Male,MLE,69.59
SEAR,South-East Asia,TLS,Timor-Leste,2019,Both sexes,BTSX,69.62
EUR,Europe,BLR,Belarus,2019,Male,MLE,69.65
AFR,Africa,GAB,Gabon,2019,Female,FMLE,69.73
EUR,Europe,TKM,Turkmenistan,2019,Both sexes,BTSX,69.75
AMR,Americas,DOM,Dominican Republic,2019,Male,MLE,69.76
WPR,Western Pacific,TON,Tonga,2019,Male,MLE,69.81
AMR,Americas,BHS,Bahamas,2019,Male,MLE,69.85
AFR,Africa,CPV,Cabo Verde,2019,Male,MLE,69.9
AMR,Americas,VEN,Venezuela (Bolivarian Republic of),2019,Male,MLE,69.91
EMR,Eastern Mediterranean,IRQ,Iraq,2019,Male,MLE,69.93
EUR,Europe,KAZ,Kazakhstan,2019,Male,MLE,69.98
AFR,Africa,SYC,Seychelles,2019,Male,MLE,69.98
AFR,Africa,UGA,Uganda,2019,Female,FMLE,70.1
WPR,Western Pacific,KHM,Cambodia,2019,Both sexes,BTSX,70.12
AFR,Africa,SEN,Senegal,2019,Female,FMLE,70.14
WPR,Western Pacific,FJI,Fiji,2019,Female,FMLE,70.28
AFR,Africa,STP,Sao Tome and Principe,2019,Both sexes,BTSX,70.42
WPR,Western Pacific,PHL,Philippines,2019,Both sexes,BTSX,70.43
WPR,Western Pacific,WSM,Samoa,2019,Both sexes,BTSX,70.45
AFR,Africa,ETH,Ethiopia,2019,Female,FMLE,70.52
AMR,Americas,SLV,El Salvador,2019,Male,MLE,70.58
EUR,Europe,LVA,Latvia,2019,Male,MLE,70.58
AMR,Americas,GRD,Grenada,2019,Male,MLE,70.63
AMR,Americas,HND,Honduras,2019,Male,MLE,70.67
EUR,Europe,KGZ,Kyrgyzstan,2019,Male,MLE,70.75
EMR,Eastern Mediterranean,SDN,Sudan,2019,Female,FMLE,70.76
EUR,Europe,UZB,Uzbekistan,2019,Male,MLE,70.76
SEAR,South-East Asia,IND,India,2019,Both sexes,BTSX,70.79
SEAR,South-East Asia,NPL,Nepal,2019,Both sexes,BTSX,70.88
WPR,Western Pacific,LAO,Lao People's Democratic Republic,2019,Female,FMLE,70.95
AFR,Africa,MUS,Mauritius,2019,Male,MLE,70.95
AMR,Americas,BOL,Bolivia (Plurinational State of),2019,Male,MLE,71.15
EMR,Eastern Mediterranean,SYR,Syrian Arab Republic,2019,Male,MLE,71.18
EUR,Europe,LTU,Lithuania,2019,Male,MLE,71.23
AFR,Africa,RWA,Rwanda,2019,Female,FMLE,71.24
AMR,Americas,LCA,Saint Lucia,2019,Male,MLE,71.3
SEAR,South-East Asia,IDN,Indonesia,2019,Both sexes,BTSX,71.31
AMR,Americas,VCT,Saint Vincent and the Grenadines,2019,Male,MLE,71.32
AMR,Americas,BLZ,Belize,2019,Male,MLE,71.36
SEAR,South-East Asia,TLS,Timor-Leste,2019,Female,FMLE,71.41
EUR,Europe,AZE,Azerbaijan,2019,Both sexes,BTSX,71.43
AMR,Americas,SUR,Suriname,2019,Both sexes,BTSX,71.48
EUR,Europe,TJK,Tajikistan,2019,Female,FMLE,71.55
EUR,Europe,BGR,Bulgaria,2019,Male,MLE,71.65
EMR,Eastern Mediterranean,MAR,Morocco,2019,Male,MLE,71.68
EMR,Eastern Mediterranean,EGY,Egypt,2019,Both sexes,BTSX,71.82
WPR,Western Pacific,WSM,Samoa,2019,Female,FMLE,71.85
AMR,Americas,HND,Honduras,2019,Both sexes,BTSX,71.94
EUR,Europe,ROU,Romania,2019,Male,MLE,71.95
AFR,Africa,STP,Sao Tome and Principe,2019,Female,FMLE,71.99
AMR,Americas,GTM,Guatemala,2019,Both sexes,BTSX,72.02
