IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
ORALHEALTH_SUGAR_AVAILABILITY,Per capita availability of refined sugar (g/day),numeric,EUR,Europe,Country,IRL,Ireland,Year,2019,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,100.3,,,,,,100.3,,,EN,2023-04-19T12:00:00.000Z
ORALHEALTH_SUGAR_AVAILABILITY,Per capita availability of refined sugar (g/day),numeric,EUR,Europe,Country,DEU,Germany,Year,2019,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,100.6,,,,,,100.6,,,EN,2023-04-19T12:00:00.000Z
ORALHEALTH_SUGAR_AVAILABILITY,Per capita availability of refined sugar (g/day),numeric,WPR,Western Pacific,Country,AUS,Australia,Year,2019,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,100.7,,,,,,100.7,,,EN,2023-04-19T12:00:00.000Z
ORALHEALTH_SUGAR_AVAILABILITY,Per capita availability of refined sugar (g/day),numeric,AFR,Africa,Country,MRT,Mauritania,Year,2019,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,101.2,,,,,,101.2,,,EN,2023-04-19T12:00:00.000Z
ORALHEALTH_SUGAR_AVAILABILITY,Per capita availability of refined sugar (g/day),numeric,AMR,Americas,Country,DOM,Dominican Republic,Year,2019,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,102.5,,,,,,102.5,,,EN,2023-04-19T12:00:00.000Z
ORALHEALTH_SUGAR_AVAILABILITY,Per capita availability of refined sugar (g/day),numeric,EUR,Europe,Country,HRV,Croatia,Year,2019,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,102.8,,,,,,102.8,,,EN,2023-04-19T12:00:00.000Z
ORALHEALTH_SUGAR_AVAILABILITY,Per capita availability of refined sugar (g/day),numeric,AMR,Americas,Country,ARG,Argentina,Year,2019,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,104.6,,,,,,104.6,,,EN,2023-04-19T12:00:00.000Z
ORALHEALTH_SUGAR_AVAILABILITY,Per capita availability of refined sugar (g/day),numeric,EUR,Europe,Country,MKD,The former Yugoslav Republic of Macedonia,Year,2019,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,106.8,,,,,,106.8,,,EN,2023-04-19T12:00:00.000Z
ORALHEALTH_SUGAR_AVAILABILITY,Per capita availability of refined sugar (g/day),numeric,AMR,Americas,Country,DMA,Dominica,Year,2019,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,107,,,,,,107,,,EN,2023-04-19T12:00:00.000Z
ORALHEALTH_SUGAR_AVAILABILITY,Per capita availability of refined sugar (g/day),numeric,AMR,Americas,Country,LCA,Saint Lucia,Year,2019,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,107.3,,,,,,107.3,,,EN,2023-04-19T12:00:00.000Z
ORALHEALTH_SUGAR_AVAILABILITY,Per capita availability of refined sugar (g/day),numeric,AMR,Americas,Country,BRA,Brazil,Year,2019,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,107.8,,,,,,107.8,,,EN,2023-04-19T12:00:00.000Z
ORALHEALTH_SUGAR_AVAILABILITY,Per capita availability of refined sugar (g/day),numeric,EMR,Eastern Mediterranean,Country,LBN,Lebanon,Year,2019,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,108.7,,,,,,108.7,,,EN,2023-04-19T12:00:00.000Z
ORALHEALTH_SUGAR_AVAILABILITY,Per capita availability of refined sugar (g/day),numeric,AMR,Americas,Country,BLZ,Belize,Year,2019,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,110.5,,,,,,110.5,,,EN,2023-04-19T12:00:00.000Z
ORALHEALTH_SUGAR_AVAILABILITY,Per capita availability of refined sugar (g/day),numeric,AMR,Americas,Country,URY,Uruguay,Year,2019,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,110.7,,,,,,110.7,,,EN,2023-04-19T12:00:00.000Z
ORALHEALTH_SUGAR_AVAILABILITY,Per capita availability of refined sugar (g/day),numeric,AMR,Americas,Country,HND,Honduras,Year,2019,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,111.8,,,,,,111.8,,,EN,2023-04-19T12:00:00.000Z
ORALHEALTH_SUGAR_AVAILABILITY,Per capita availability of refined sugar (g/day),numeric,AMR,Americas,Country,NIC,Nicaragua,Year,2019,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,112.2,,,,,,112.2,,,EN,2023-04-19T12:00:00.000Z
ORALHEALTH_SUGAR_AVAILABILITY,Per capita availability of refined sugar (g/day),numeric,AMR,Americas,Country,SUR,Suriname,Year,2019,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,112.7,,,,,,112.7,,,EN,2023-04-19T12:00:00.000Z
ORALHEALTH_SUGAR_AVAILABILITY,Per capita availability of refined sugar (g/day),numeric,EMR,Eastern Mediterranean,Country,DJI,Djibouti,Year,2019,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,112.8,,,,,,112.8,,,EN,2023-04-19T12:00:00.000Z
ORALHEALTH_SUGAR_AVAILABILITY,Per capita availability of refined sugar (g/day),numeric,AMR,Americas,Country,SLV,El Salvador,Year,2019,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,113.1,,,,,,113.1,,,EN,2023-04-19T12:00:00.000Z
ORALHEALTH_SUGAR_AVAILABILITY,Per capita availability of refined sugar (g/day),numeric,EUR,Europe,Country,CHE,Switzerland,Year,2019,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,113.7,,,,,,113.7,,,EN,2023-04-19T12:00:00.000Z
ORALHEALTH_SUGAR_AVAILABILITY,Per capita availability of refined sugar (g/day),numeric,EUR,Europe,Country,AUT,Austria,Year,2019,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,114.5,,,,,,114.5,,,EN,2023-04-19T12:00:00.000Z
